Datetime,Speed_thru_water,Speed_over_ground,Load%,Shaft_Power,ME_rpm,Scavenge_air_pressure,Scavenge_air_temp,Fuel_cons,ME_exh_temp,ME_TC_Exh_IN,ME_TC_Exh_Out,Windforce_BF,Current_Cal
14-08-2023 19:30,11.06415654,11.10000038,38.79977751,3263.061288,70,0.560000002,50.25999985,674.9799805,337,258.7000122,316.1166636,3,-0.035843844
14-08-2023 19:45,10.94734416,10.89999962,40.85979791,3436.309004,70,0.610000014,50.95999985,671.0800171,345.7999878,268.6000061,313.6333313,3,0.047344543
14-08-2023 20:00,11.41931516,11.60000038,40.85979791,3436.309004,70,0.610000014,51.53999939,661.25,347.7999878,272,313.6000061,3,-0.180685218
14-08-2023 20:15,11.6969919,11.80000019,40.85979791,3436.309004,70,0.610000014,51.66000061,665.8300171,347.1000061,273.6000061,312.5833333,3,-0.103008291
14-08-2023 20:30,11.56022303,11.69999981,41.27004324,3470.810636,70,0.620000005,51.76000061,660.7800293,348.1000061,274,313.3666687,3,-0.139776778
04-09-2023 21:15,10.12557918,10.10000038,49.35187867,4150.492996,71,0.819999993,50.74000092,919.3400269,354.5,264.3999939,328.8833313,4,0.025578795
04-09-2023 21:30,11.74264185,11.69999981,63.68524776,5355.929336,79,1.190000057,49.72000046,1077.219971,386.5,265.2999878,355.3166656,4,0.04264204
04-09-2023 21:45,11.46669199,11.5,63.30840492,5324.236854,81,1.179999948,48.74000015,1068.790039,395.3999939,278.5,359.850001,5,-0.033308015
04-09-2023 22:00,12.05518219,12.10000038,66.30670571,5576.39395,82,1.25999999,48.4,1116.619995,397.1000061,282.7000122,360.3166606,4,-0.044818187
04-09-2023 22:15,12.51775966,12.5,67.42139639,5670.139436,82,1.289999962,49.2,1093.01001,396.8999939,278.7999878,359.0833333,4,0.017759658
04-09-2023 22:30,12.54015278,12.60000038,66.67885535,5607.691735,82,1.269999981,49.84000015,1100.400024,396.2999878,278.7999878,358.5333303,3,-0.059847597
